"Sample Date","Facility","Species","Salvage","Loss","Acrefeet"
2003-01-28,CVP,2,24,16.32,8576
2007-03-08,CVP,2,36,24.48,8902
2003-05-06,SWP,2,0,0.00,1305
1999-08-30,CVP,2,0,0.00,8641
2003-08-11,SWP,2,0,0.00,13884
2009-04-05,CVP,2,0,0.00,3463
2017-11-07,SWP,2,0,0.00,2850
2022-04-18,CVP,2,0,0.00,1801
2012-05-06,SWP,2,0,0.00,4424
1994-06-02,SWP,2,0,0.00,763
1997-06-21,SWP,2,0,0.00,7814
2002-08-12,SWP,2,0,0.00,13784
1999-11-30,CVP,2,0,0.00,8283
1999-04-10,CVP,2,60,40.80,5375
2015-03-21,CVP,2,0,0.00,1943
1997-08-17,SWP,2,0,0.00,3949
2002-03-19,SWP,2,12,51.96,10934
2014-06-05,CVP,2,0,0.00,1659
2020-03-17,SWP,2,0,0.00,5150
1998-11-22,SWP,2,0,0.00,3377
2017-08-31,CVP,2,0,0.00,8674
2007-08-14,CVP,2,0,0.00,8771
2001-11-25,CVP,2,0,0.00,7902
1998-06-18,SWP,2,0,0.00,3362
2018-12-10,CVP,2,0,0.00,7949
2005-06-24,SWP,2,0,0.00,13425
2005-06-07,SWP,2,7,30.31,10400
2012-08-13,CVP,2,0,0.00,8699
2020-06-09,SWP,2,0,0.00,352
1997-08-14,SWP,2,0,0.00,1291
2009-03-19,CVP,2,8,5.44,7220
1996-07-28,CVP,2,0,0.00,8795
2016-03-09,SWP,2,0,0.00,6913
2018-05-05,SWP,2,8,34.64,2099
2006-05-25,SWP,2,0,0.00,6217
2002-07-15,SWP,2,0,0.00,12456
2005-12-12,SWP,2,0,0.00,13147
2006-05-23,CVP,2,0,0.00,5660
1994-12-18,SWP,2,0,0.00,5853
2005-02-16,SWP,2,0,0.00,9527
1994-03-22,CVP,2,0,0.00,3906
1999-01-08,SWP,2,0,0.00,404
1999-09-29,CVP,2,0,0.00,8079
2015-07-23,SWP,2,0,0.00,273
2020-11-02,SWP,2,NS,0.00,0
2002-04-14,CVP,2,12,8.16,6810
2004-01-13,CVP,2,0,0.00,8662
2014-11-20,SWP,2,0,0.00,5238
2012-02-19,CVP,2,0,0.00,4234
2016-10-03,SWP,2,0,0.00,5562
2017-09-30,SWP,2,0,0.00,13049
2018-06-24,SWP,2,0,0.00,3609
2010-12-04,CVP,2,0,0.00,8151
2005-06-03,SWP,2,0,0.00,6788
2008-04-16,SWP,2,2,8.66,1960
2011-05-17,SWP,2,0,0.00,2984
2011-05-18,SWP,2,8,34.64,4480
2002-08-21,SWP,2,0,0.00,13878
1996-12-29,SWP,2,0,0.00,1086
2015-09-23,CVP,2,0,0.00,1600
2007-05-07,CVP,2,0,0.00,1678
1994-09-20,SWP,2,0,0.00,2720
2001-06-07,CVP,2,0,0.00,6421
2019-04-14,CVP,2,0,0.00,3804
1995-06-19,SWP,2,0,0.00,3907
1994-02-18,SWP,2,8,34.64,3234
2002-07-27,CVP,2,0,0.00,8668
2010-12-15,CVP,2,0,0.00,8139
2016-07-05,CVP,2,0,0.00,1587
2020-01-02,CVP,2,0,0.00,8143
2008-06-07,SWP,2,0,0.00,1569
2014-06-04,SWP,2,0,0.00,611
2016-08-28,CVP,2,0,0.00,6979
2020-02-11,SWP,2,0,0.00,2882
1994-01-01,CVP,2,0,0.00,8000
2011-03-01,SWP,2,5,21.65,9774
2015-05-27,SWP,2,0,0.00,2532
2021-12-22,CVP,2,0,0.00,1813
2019-01-22,CVP,2,4,2.72,7925
2000-10-04,SWP,2,0,0.00,10138
2009-07-06,SWP,2,0,0.00,13062
1997-07-18,CVP,2,0,0.00,8854
2013-10-07,SWP,2,0,0.00,2880
2005-06-26,CVP,2,0,0.00,8515
2014-08-24,SWP,2,0,0.00,2079
2006-07-07,CVP,2,0,0.00,8802
2015-01-22,CVP,2,0,0.00,1734
1996-06-07,SWP,2,0,0.00,12335
2019-05-17,CVP,2,4,2.72,5176
2016-05-11,CVP,2,0,0.00,1958
1994-09-03,SWP,2,0,0.00,8720
2017-12-11,SWP,2,0,0.00,10446
2018-05-08,SWP,2,NS,0.00,0
2017-10-28,SWP,2,0,0.00,6308
1998-12-08,SWP,2,0,0.00,3860
2001-07-27,CVP,2,0,0.00,8423
2018-09-28,CVP,2,0,0.00,5239
1994-12-25,CVP,2,0,0.00,8199
2011-06-10,SWP,2,0,0.00,11775
1994-04-02,CVP,2,0,0.00,4250
1999-04-07,CVP,2,12,8.16,3294
2002-07-18,SWP,2,0,0.00,12662
2007-11-03,SWP,2,0,0.00,3731
2004-06-07,SWP,2,0,0.00,1886
2003-08-13,CVP,2,0,0.00,8471
2010-02-16,CVP,2,4,2.72,6867
2008-06-29,SWP,2,0,0.00,2652
2018-11-29,CVP,2,0,0.00,6860
2010-03-30,SWP,2,0,0.00,6846
1995-12-01,CVP,2,0,0.00,8753
2014-08-25,SWP,2,0,0.00,1998
2000-07-03,SWP,2,0,0.00,11475
1999-05-28,CVP,2,12,8.16,2975
2000-04-09,CVP,2,12,8.16,8389
2018-10-13,CVP,2,0,0.00,8446
1997-04-19,SWP,2,6,25.98,2520
2017-02-14,CVP,2,0,0.00,8356
2010-03-20,SWP,2,10,43.30,6955
2013-12-27,CVP,2,0,0.00,1948
1999-06-22,SWP,2,0,0.00,1439
1999-06-25,SWP,2,0,0.00,1871
2020-12-12,CVP,2,0,0.00,1647
2007-12-09,CVP,2,0,0.00,7380
2011-09-17,SWP,2,0,0.00,13945
2016-03-10,SWP,2,0,0.00,5926
1997-06-06,SWP,2,0,0.00,3351
2002-10-13,SWP,2,0,0.00,2204
2020-11-20,CVP,2,0,0.00,3640
2010-08-12,CVP,2,0,0.00,8315
2006-01-12,SWP,2,0,0.00,5225
2004-12-31,SWP,2,0,0.00,14112
1997-06-05,SWP,2,0,0.00,3431
1994-10-26,CVP,2,0,0.00,2072
2011-07-06,CVP,2,0,0.00,8400
2003-10-25,CVP,2,0,0.00,8625
1999-04-04,CVP,2,0,0.00,3008
2020-12-24,CVP,2,0,0.00,1639
2022-07-29,CVP,2,0,0.00,5395
2021-07-30,SWP,2,0,0.00,411
2012-02-28,SWP,2,0,0.00,2928
2013-05-10,CVP,2,0,0.00,1940
1996-04-24,CVP,2,0,0.00,1666
2013-11-14,CVP,2,0,0.00,4947
1997-11-19,CVP,2,0,0.00,8332
2011-02-02,SWP,2,4,17.32,10269
